epoch,train_loss,train_auc,val_loss,val_auc,val_bacc
1,1.7512,0.5572,1.5475,0.6601,0.5000
2,1.5605,0.6362,1.5228,0.6842,0.5005
3,1.5441,0.6556,1.5099,0.6975,0.5013
4,1.5314,0.6697,1.4996,0.7053,0.5007
5,1.5213,0.6797,1.4900,0.7114,0.5008
6,1.5144,0.6856,1.4864,0.7160,0.5008
7,1.5109,0.6890,1.4818,0.7183,0.5006
8,1.5085,0.6913,1.4788,0.7208,0.5008
9,1.5046,0.6945,1.4772,0.7217,0.5008
10,1.5050,0.6937,1.4770,0.7207,0.5009
11,1.5015,0.6971,1.4744,0.7243,0.5007
12,1.4989,0.6990,1.4736,0.7239,0.5004
13,1.4977,0.7001,1.4730,0.7233,0.5009
14,1.4971,0.7000,1.4705,0.7261,0.5009
15,1.4948,0.7018,1.4696,0.7259,0.5009
16,1.4935,0.7035,1.4687,0.7270,0.5007
17,1.4933,0.7034,1.4671,0.7272,0.5007
18,1.4913,0.7044,1.4657,0.7279,0.5008
19,1.4919,0.7041,1.4665,0.7279,0.5009
20,1.4914,0.7043,1.4654,0.7279,0.5007
21,1.4898,0.7054,1.4634,0.7280,0.5009
22,1.4887,0.7062,1.4626,0.7296,0.5004
23,1.4865,0.7078,1.4616,0.7295,0.5006
24,1.4876,0.7072,1.4621,0.7293,0.5010
25,1.4860,0.7077,1.4638,0.7297,0.5003
26,1.4870,0.7069,1.4620,0.7300,0.5007
27,1.4869,0.7073,1.4619,0.7310,0.5003
28,1.4851,0.7089,1.4600,0.7315,0.5006
29,1.4837,0.7099,1.4596,0.7307,0.5006
30,1.4846,0.7091,1.4591,0.7319,0.5003
31,1.4842,0.7094,1.4589,0.7315,0.5006
32,1.4824,0.7105,1.4580,0.7321,0.5007
33,1.4822,0.7106,1.4603,0.7319,0.5005
34,1.4813,0.7113,1.4583,0.7316,0.5004
35,1.4821,0.7110,1.4580,0.7315,0.5006
36,1.4817,0.7108,1.4554,0.7329,0.5006
37,1.4797,0.7118,1.4551,0.7335,0.5004
38,1.4803,0.7120,1.4535,0.7338,0.5009
39,1.4786,0.7132,1.4569,0.7327,0.5004
40,1.4773,0.7140,1.4539,0.7332,0.5007
41,1.4782,0.7133,1.4585,0.7318,0.5003
42,1.4789,0.7130,1.4535,0.7336,0.5011
43,1.4772,0.7137,1.4553,0.7341,0.5006
44,1.4779,0.7139,1.4542,0.7337,0.5003
45,1.4786,0.7131,1.4540,0.7342,0.5003
46,1.4775,0.7140,1.4521,0.7354,0.5004
47,1.4764,0.7146,1.4540,0.7342,0.5003
48,1.4765,0.7142,1.4560,0.7338,0.5002
49,1.4758,0.7152,1.4521,0.7359,0.5004
50,1.4756,0.7150,1.4524,0.7359,0.5005
51,1.4743,0.7160,1.4526,0.7364,0.5005
52,1.4753,0.7155,1.4494,0.7372,0.5004
53,1.4729,0.7167,1.4510,0.7364,0.5004
54,1.4737,0.7164,1.4483,0.7368,0.5008
55,1.4741,0.7167,1.4522,0.7367,0.5007
56,1.4722,0.7171,1.4484,0.7370,0.5012
57,1.4722,0.7177,1.4474,0.7380,0.5008
58,1.4715,0.7176,1.4475,0.7385,0.5004
59,1.4728,0.7170,1.4505,0.7371,0.5006
60,1.4725,0.7173,1.4470,0.7381,0.5009
61,1.4700,0.7184,1.4477,0.7385,0.5006
62,1.4685,0.7202,1.4470,0.7387,0.5005
63,1.4711,0.7183,1.4480,0.7380,0.5006
64,1.4695,0.7198,1.4490,0.7379,0.5006
65,1.4697,0.7189,1.4470,0.7389,0.5008
66,1.4696,0.7193,1.4463,0.7390,0.5005
67,1.4682,0.7202,1.4472,0.7401,0.5006
68,1.4683,0.7202,1.4426,0.7406,0.5011
69,1.4684,0.7199,1.4444,0.7396,0.5006
70,1.4694,0.7190,1.4449,0.7396,0.5007
71,1.4690,0.7196,1.4435,0.7393,0.5009
72,1.4675,0.7203,1.4440,0.7396,0.5012
73,1.4682,0.7200,1.4489,0.7379,0.5005
74,1.4671,0.7207,1.4458,0.7393,0.5006
75,1.4649,0.7213,1.4434,0.7401,0.5006
76,1.4661,0.7214,1.4441,0.7396,0.5006
77,1.4649,0.7222,1.4455,0.7400,0.5007
78,1.4663,0.7209,1.4439,0.7406,0.5006
79,1.4655,0.7219,1.4437,0.7397,0.5010
80,1.4639,0.7225,1.4430,0.7401,0.5010
81,1.4639,0.7228,1.4437,0.7403,0.5005
82,1.4655,0.7216,1.4431,0.7400,0.5006
83,1.4643,0.7227,1.4435,0.7399,0.5009
84,1.4648,0.7224,1.4447,0.7397,0.5005
85,1.4639,0.7230,1.4428,0.7408,0.5009
86,1.4637,0.7231,1.4443,0.7404,0.5005
87,1.4627,0.7231,1.4424,0.7406,0.5006
88,1.4630,0.7233,1.4424,0.7409,0.5007
89,1.4639,0.7225,1.4442,0.7407,0.5005
90,1.4622,0.7236,1.4423,0.7405,0.5007
91,1.4622,0.7240,1.4423,0.7410,0.5008
92,1.4631,0.7231,1.4440,0.7405,0.5005
93,1.4633,0.7229,1.4434,0.7408,0.5006
94,1.4631,0.7230,1.4420,0.7409,0.5006
95,1.4606,0.7247,1.4421,0.7411,0.5006
96,1.4629,0.7228,1.4420,0.7409,0.5005
97,1.4637,0.7225,1.4408,0.7410,0.5012
98,1.4646,0.7226,1.4429,0.7405,0.5006
99,1.4624,0.7234,1.4410,0.7412,0.5006
100,1.4627,0.7232,1.4421,0.7409,0.5009
